|FPP|Entry
7504|calculo|calculo, calculare, calculavi, calculatus v
7505|calculo|calculo, calculonis n
7506|calculosus|calculosus, calculosa, calculosum adj
7507|calculosus|calculosus, calculosi n
7508|calculum|calculum, calculi n
7509|calculus|calculus, calculi n
7510|calculus|calculus, calculi n
7511|calcus|calcus, calci n
7512|calda|calda, caldae n
7513|caldamentum|caldamentum, caldamenti n
7514|caldaria|caldaria, caldariae n
7515|caldariola|caldariola, caldariolae n
7516|caldarium|caldarium, caldari(i) n
7517|caldarius|caldarius, caldaria, caldarium adj
7518|caldicerebrius|caldicerebrius, caldicerebria, caldicerebrium adj
7519|caldicus|caldicus, caldica, caldicum adj
7520|caldor|caldor, caldoris n
7521|caldum|caldum, caldi n
7522|caldus|caldus, calda adj
7523|caleco|caleco, calecare, calecavi, calecatus v
7524|Caledonia|Caledonia, Caledoniae n
7525|calefacio|calefacio, calefacere, calefeci, calefactus v
7526|calefactabilis|calefactabilis, calefactabilis, calefactabile adj
7527|calefactio|calefactio, calefactionis n
7528|calefacto|calefacto, calefactare, calefactavi, calefactatus v
7529|calefactorius|calefactorius, calefactoria, calefactorium adj
7530|calefactus|calefactus, calefacta, calefactum adj
7531|calefactus|calefactus, calefactus n
7532|calefio|calefio, caleferi, calefactus v
7533|Calenda|Calenda, Calendae n
7534|calendarium|calendarium, calendari(i) n
7535|calenter|calenter adv
7536|caleo|caleo, calere, calui, - v
7537|calesco|calesco, calescere, -, - v
7538|calfacio|calfacio, calfacere, calfeci, calfactus v
7539|calficio|calficio, calficere, -, - v
7540|calfio|calfio, calferi, calfactus v
7541|caliandrum|caliandrum, caliandri n
7542|calicatus|calicatus, calicata, calicatum adj
7543|calicellus|calicellus, calicelli n
7544|calicia|calicia, caliciae n
7545|caliclarium|caliclarium, caliclarii n
7546|calico|calico, calicare, calicavi, calicatus v
7547|caliculus|caliculus, caliculi n
7548|caliculus|caliculus, caliculi n
7549|calida|calida, calidae n
7550|calidaria|calidaria, calidariae n
7551|calidarium|calidarium, calidari(i) n
7552|calidarius|calidarius, calidaria, calidarium adj
7553|calide|calide adv
7554|calidum|calidum, calidi n
7555|calidus|calidus, calida adj
7556|caliendrum|caliendrum, caliendri n
7557|caliga|caliga, caligae n
7558|caligaris|caligaris, caligaris, caligare adj
7559|caligarius|caligarius, caligaria, caligarium adj
7560|caligarius|caligarius, caligarii n
7561|caligatio|caligatio, caligationis n
7562|caligatus|caligatus, caligata, caligatum adj
7563|caligatus|caligatus, caligati n
7564|caligineus|caligineus, caliginea, caligineum adj
7565|caliginosus|caliginosus, caliginosa, caliginosum adj
7566|caligo|caligo, caligare, caligavi, caligatus v
7567|caligo|caligo, caliginis n
7568|caligosus|caligosus, caligosa, caligosum adj
7569|Caligula|Caligula, Caligulae n
7570|calipha|calipha, caliphae n
7571|calipha|calipha, caliphae n
7572|caliptra|caliptra, caliptrae n
7573|calix|calix, calicis n
7574|callaica|callaica, callaicae n
7575|callaina|callaina, callainae n
7576|callainus|callainus, callaina, callainum adj
7577|callais|callais, callaidis n
7578|callarias|callarias, callariae n
7579|callens|callens, (gen.), callentis adj
7580|calleo|calleo, callere, callui, - v
7581|calliblepharatus|calliblepharatus, calliblepharata, calliblepharatum adj
7582|calliblepharum|calliblepharum, calliblephari n
7583|calliblepharus|calliblepharus, calliblephara, calliblepharum adj
7584|callicia|callicia, calliciae n
7585|callide|callide, callidius, callidissime adv
7586|calliditas|calliditas, calliditatis n
7587|callidulus|callidulus, callidula, callidulum adj
7588|callidus|callidus, callida adj
7589|calligo|calligo, calligare, calligavi, calligatus v
7590|calligonon|calligonon, calligoni n
7591|callim|callim adv
7592|callim|callim prep
7593|callimus|callimus, callimi n
7594|callion|callion, callii n
7595|callionymus|callionymus, callionymi n
7596|callipetalon|callipetalon, callipetali n
7597|calliplocamos|calliplocamos, calliplocamos, calliplocamon adj
7598|callis|callis, callis n
7599|callisco|callisco, calliscere, callisci, - v
7600|callisphyros|callisphyros, callisphyros, callisphyron adj
7601|callistruthia|callistruthia, callistruthiae n
7602|callistruthis|callistruthis, callistruthidis n
7603|callithrix|callithrix, callithrichos/is n
7604|callithrix|callithrix, callitrichos/is n
7605|callitrichon|callitrichon, callitrichi n
7606|callitrichos|callitrichos, callitrichi n
7607|callositas|callositas, callositatis n
7608|callosus|callosus, callosa adj
7609|callum|callum, calli n
7610|callus|callus, calli n
7611|calo|calo, calare, calavi, calatus v
7612|calo|calo, calare, calavi, calatus v
7613|calo|calo, calonis n
7614|calo|calo, calonis n
7615|calor|calor, caloris n
7616|caloratus|caloratus, calorata, caloratum adj
7617|caloria|caloria, caloriae n
7618|calorificus|calorificus, calorifica, calorificum adj
7619|calos|calos adv
7620|calota|calota, calotae n
7621|calpar|calpar, calparis n
7622|Calpurnia|Calpurnia, Calpurniae n
7623|calta|calta, caltae n
7624|caltha|caltha, calthae n
7625|calthula|calthula, calthulae n
7626|caltula|caltula, caltulae n
7627|calumma|calumma, calummatis n
7628|calumnia|calumnia, calumniae n
7629|calumnia|calumnia, calumniae n
7630|calumniator|calumniator, calumniatoris n
7631|calumniatrix|calumniatrix, calumniatricis n
7632|calumnior|calumnior, calumniari, calumniatus v
7633|calumniose|calumniose adv
7634|calumniosus|calumniosus, calumniosa, calumniosum adj
7635|calumniosus|calumniosus, calumniosi n
7636|calumpnia|calumpnia, calumpniae n
7637|calva|calva, calvae n
7638|calvar|calvar, calvaris n
7639|calvaria|calvaria, calvariae n
7640|calvariola|calvariola, calvariolae n
7641|calvarium|calvarium, calvarii n
7642|calvatus|calvatus, calvata, calvatum adj
7643|calventinus|calventinus, calventina, calventinum adj
7644|calveo|calveo, calvere, -, - v
7645|calvesco|calvesco, calvescere, -, - v
7646|Calvinianus|Calvinianus, Calviniana, Calvinianum adj
7647|Calvinismus|Calvinismus, Calvinismi n
7648|Calvinista|Calvinista, Calvinistae n
7649|calvio|calvio, calvire, calvivi, calvitus v
7650|calvities|calvities, calvitiei n
7651|calvitium|calvitium, calvitii n
7652|calvo|calvo, calvare, calvavi, calvatus v
7653|calvo|calvo, calvere, -, - v
7654|calvor|calvor, calvi, - v
7655|calvus|calvus, calva adj
7656|calvus|calvus, calvi n
7657|calx|calx, calcis n
7658|calx|calx, calcis n
7659|calx|calx, calcis n
7660|calybita|calybita, calybitae n
7661|calyculus|calyculus, calyculi n
7662|calymma|calymma, calymmatis n
7663|calyx|calyx, calycis n
7664|calyx|calyx, calycis n
7665|cama|cama, camae n
7666|camacum|camacum, camaci n
7667|camaeus|camaeus, camaei n
7668|camara|camara, camarae n
7669|camararius|camararius, camararia, camararium adj
7670|camaratio|camaratio, camarationis n
7671|camaro|camaro, camarare, camaravi, camaratus v
7672|camaura|camaura, camaurae n
7673|cambialis|cambialis, cambialis, cambiale adj
7674|cambio|cambio, cambiare, -, - v
7675|cambio|cambio, cambiare, cambiavi, cambiatus v
7676|cambio|cambio, cambire, campsi, cambitus v
7677|cambitas|cambitas, cambitatis n
7678|cambium|cambium, cambii n
7679|Cambria|Cambria, Cambriae n
7680|cambuta|cambuta, cambutae n
7681|camela|camela, camelae adj
7682|camela|camela, camelae n
7683|camelarius|camelarius, camelarii n
7684|camelaucium|camelaucium, camelaucii n
7685|camelelasia|camelelasia, camelelasiae n
7686|cameleon|cameleon, cameleonis n
7687|camelinus|camelinus, camelina, camelinum adj
7688|camella|camella, camellae n
7689|camelopardalis|camelopardalis, camelopardalis n
7690|camelopardalus|camelopardalus, camelopardali n
7691|camelopardus|camelopardus, camelopardi n
7692|camelopodium|camelopodium, camelopodi(i) n
7693|camelottum|camelottum, camelotti n
7694|camelus|camelus, cameli n
7695|Camena|Camena, Camenae n
7696|camena|camena, camenae n
7697|camera|camera, camerae n
7698|camera|camera, camerae n
7699|cameralis|cameralis, cameralis, camerale adj
7700|camerarius|camerarius, cameraria, camerarium adj
7701|camerarius|camerarius, camerarii n
7702|cameratio|cameratio, camerationis n
7703|camero|camero, camerare, cameravi, cameratus v
7704|camescopium|camescopium, camescopii n
7705|camilla|camilla, camillae n
7706|camillus|camillus, camilli n
7707|camino|camino, caminare, caminavi, caminatus v
7708|caminus|caminus, camini n
7709|camisia|camisia, camisiae n
7710|camisium|camisium, camisii n
7711|cammaron|cammaron, cammari n
7712|cammaros|cammaros, cammari n
7713|cammarus|cammarus, cammari n
7714|campagus|campagus, campagi n
7715|campana|campana, campanae n
7716|campanarium|campanarium, campanarii n
7717|campanarius|campanarius, campanarii n
7718|campaneus|campaneus, campanea, campaneum adj
7719|Campania|Campania, Campaniae n
7720|campanicum|campanicum, campanici n
7721|campanile|campanile, campanilis n
7722|campanius|campanius, campania, campanium adj
7723|campanula|campanula, campanulae n
7724|campanus|campanus, campana, campanum adj
7725|campe|campe, campes n
7726|campeador|campeador, campeadoris n
7727|campester|campester, campestris, campestre adj
7728|campestratus|campestratus, campestrati n
7729|campestre|campestre, campestris n
7730|campestre|campestre, campestris n
7731|campestris|campestris, campestris n
7732|campestris|campestris, campestris n
7733|campestris|campestris, campestris, campestre adj
7734|campicursio|campicursio, campicursionis n
7735|campidoctor|campidoctor, campidoctoris n
7736|campigenus|campigenus, campigeni n
7737|campio|campio, campionis n
7738|campionatus|campionatus, campionatus n
7739|campismus|campismus, campismi n
7740|campitor|campitor, campitoris n
7741|campsanema|campsanema, campsanematis n
7742|campso|campso, campsare, campsavi, campsatus v
7743|campsor|campsor, campsoris n
7744|camptaules|camptaules, camptaulae n
7745|campter|campter, campteris n
7746|campter|campter, campteros/is n
7747|campus|campus, campi n
7748|camter|camter, camteros/is n
7749|camum|camum, cami n
7750|camur|camur, camura, camurum adj
7751|camurus|camurus, camura, camurum adj
7752|camus|camus, cami n
7753|canaba|canaba, canabae n
7754|canaba|canaba, canabae n
7755|canabarius|canabarius, canabari(i) n
7756|canabensis|canabensis, canabensis n
7757|canabula|canabula, canabulae n
7758|canachenus|canachenus, canacheni n
7759|canale|canale, canalis n
7760|canalicius|canalicius, canalicia, canalicium adj
7761|canalicola|canalicola, canalicolae n
7762|canalicula|canalicula, canaliculae n
7763|canaliculatim|canaliculatim adv
7764|canaliculatus|canaliculatus, canaliculata, canaliculatum adj
7765|canaliculus|canaliculus, canaliculi n
7766|canaliensis|canaliensis, canaliensis, canaliense adj
7767|canalis|canalis, canalis n
7768|canarius|canarius, canaria, canarium adj
7769|canaster|canaster, canastra, canastrum adj
7770|canatim|canatim adv
7771|cancamum|cancamum, cancami n
7772|cancellaria|cancellaria, cancellariae n
7773|cancellarius|cancellarius, cancellari(i) n
7774|cancellarius|cancellarius, cancellaria, cancellarium adj
7775|cancellarius|cancellarius, cancellarii n
7776|cancellatim|cancellatim adv
7777|cancellatio|cancellatio, cancellationis n
7778|cancellatus|cancellatus, cancellata, cancellatum adj
7779|cancello|cancello, cancellare, cancellavi, cancellatus v
7780|cancellosus|cancellosus, cancellosa, cancellosum adj
7781|cancellus|cancellus, cancelli n
7782|cancer|cancer, canceris n
7783|cancer|cancer, canceris n
7784|cancer|cancer, cancri n
7785|cancer|cancer, cancri n
7786|cancerasco|cancerasco, cancerascere, canceravi, canceratus v
7787|canceraticus|canceraticus, canceratica, canceraticum adj
7788|canceratus|canceratus, cancerata, canceratum adj
7789|canceroma|canceroma, canceromatis n
7790|canchrema|canchrema, canchrematis n
7791|cancrigenus|cancrigenus, cancrigena, cancrigenum adj
7792|cancroma|cancroma, cancromatis n
7793|candefacio|candefacio, candefacere, candefeci, candefactus v
7794|candefio|candefio, candeferi, candefactus v
7795|candela|candela, candelae n
7796|candelaber|candelaber, candelabri n
7797|candelabrarius|candelabrarius, candelabrari(i) n
7798|candelabrum|candelabrum, candelabri n
7799|candelabrus|candelabrus, candelabri n
7800|candens|candens, candentis adj
7801|candentia|candentia, candentiae n
7802|candeo|candeo, candere, candui, - v
7803|candesco|candesco, candescere, candui, - v
7804|candetum|candetum, candeti n
7805|candicens|candicens, candicentis adj
7806|candico|candico, candicare, candicavi, candicatus v
7807|candida|candida, candidae n
7808|candidans|candidans, (gen.), candidantis adj
7809|candidarius|candidarius, candidaria, candidarium adj
7810|candidarius|candidarius, candidarii n
7811|candidata|candidata, candidatae n
7812|candidatio|candidatio, candidationis n
7813|candidatorius|candidatorius, candidatoria, candidatorium adj
7814|candidatus|candidatus, candidata, candidatum adj
7815|candidatus|candidatus, candidati n
7816|candidatus|candidatus, candidatus n
7817|candide|candide adv
7818|candido|candido, candidare, candidavi, candidatus v
7819|candidule|candidule adv
7820|candidulus|candidulus, candidula, candidulum adj
7821|candidum|candidum, candidi n
7822|candidus|candidus, candida adj
7823|candidus|candidus, candida adj
7824|candifico|candifico, candificere, -, - v
7825|candificus|candificus, candifica, candificum adj
7826|canditatio|canditatio, canditationis n
7827|candor|candor, candoris n
7828|candosoccus|candosoccus, candosocci n
7829|canens|canens, (gen.), canentis adj
7830|canentas|canentas, canentatis n
7831|caneo|caneo, canere, canui, - v
7832|canes|canes, canis n
7833|canesco|canesco, canescere, -, - v
7834|cania|cania, caniae n
7835|canica|canica, canicae n
7836|canicula|canicula, caniculae n
7837|canicularis|canicularis, canicularis, caniculare adj
7838|canifera|canifera, caniferae n
7839|caniformis|caniformis, caniformis, caniforme adj
7840|canina|canina, caninae n
7841|caninus|caninus, canina, caninum adj
7842|canipa|canipa, canipae n
7843|canis|canis, canis n
7844|canistellum|canistellum, canistelli n
7845|canistraria|canistraria, canistrariae n
7846|canistrum|canistrum, canistri n
7847|canitia|canitia, canitiae n
7848|canities|canities, canitiei n
7849|canitudo|canitudo, canitudinis n
7850|canna|canna, cannae n
7851|cannaba|cannaba, cannabae n
7852|cannaba|cannaba, cannabae n
7853|cannabinus|cannabinus, cannabina, cannabinum adj
7854|cannabis|cannabis, cannabis n
7855|cannabius|cannabius, cannabia, cannabium adj
7856|cannabum|cannabum, cannabi n
7857|cannabus|cannabus, cannabi n
7858|cannetum|cannetum, canneti n
7859|canneus|canneus, cannea, canneum adj
7860|cannibalismus|cannibalismus, cannibalismi n
7861|canno|canno, cannonis n
7862|cannophorus|cannophorus, cannophori n
7863|cannula|cannula, cannulae n
7864|cannulono|cannulono, cannulonis n
7865|cano|cano, canere, cani, canitus v
7866|cano|cano, canere, cecini, cantus v
7867|canon|canon, canonis n
7868|canon|canon, canonis n
7869|canon|canon, canonis n
7870|canon|canon, canonis n
7871|canon|canon, canonos/is n
7872|canonia|canonia, canoniae n
7873|canonicalis|canonicalis, canonicalis, canonicale adj
7874|canonicarius|canonicarius, canonicari(i) n
7875|canonicatus|canonicatus, canonicatus n
7876|canonice|canonice adv
7877|canonicum|canonicum, canonici n
7878|canonicus|canonicus, canonica, canonicum adj
7879|canonicus|canonicus, canonica, canonicum adj
7880|canonicus|canonicus, canonici n
7881|canonicus|canonicus, canonici n
7882|canonisatio|canonisatio, canonisationis n
7883|canonissa|canonissa, canonissae n
7884|canonista|canonista, canonistae n
7885|canonizatio|canonizatio, canonizationis n
7886|canonizo|canonizo, canonizare, canonizavi, canonizatus v
7887|canor|canor, canoris n
7888|canore|canore adv
7889|canorum|canorum, canori n
7890|canorus|canorus, canora, canorum adj
7891|cantabilis|cantabilis, cantabilis, cantabile adj
7892|cantabrarius|cantabrarius, cantabrarii n
7893|Cantabrigia|Cantabrigia, Cantabrigiae n
7894|cantabrum|cantabrum, cantabri n
7895|cantabundus|cantabundus, cantabunda, cantabundum adj
7896|cantamen|cantamen, cantaminis n
7897|cantatio|cantatio, cantationis n
7898|cantator|cantator, cantatoris n
7899|cantatorium|cantatorium, cantatorii n
7900|cantatrix|cantatrix, (gen.), cantatricis adj
7901|cantatrix|cantatrix, cantatricis n
7902|cantenatus|cantenatus, cantenata, cantenatum adj
7903|canteriatus|canteriatus, canteriata, canteriatum adj
7904|canterinus|canterinus, canterina, canterinum adj
7905|canteriolus|canteriolus, canterioli n
7906|canterius|canterius, canteri(i) n
7907|cantharella|cantharella, cantharellae n
7908|cantharias|cantharias, canthariae n
7909|cantharis|cantharis, cantharidis n
7910|cantharites|cantharites, cantharitae n
7911|cantharulus|cantharulus, cantharuli n
7912|cantharus|cantharus, canthari n
7913|cantharus|cantharus, canthari n
7914|cantheriatus|cantheriatus, cantheriata, cantheriatum adj
7915|cantherinus|cantherinus, cantherina, cantherinum adj
7916|cantheriolus|cantheriolus, cantherioli n
7917|cantherius|cantherius, cantheri(i) n
7918|canthus|canthus, canthi n
7919|canticulum|canticulum, canticuli n
7920|canticum|canticum, cantici n
7921|canticus|canticus, cantica, canticum adj
7922|cantilena|cantilena, cantilenae n
7923|cantilenosus|cantilenosus, cantilenosa, cantilenosum adj
7924|cantillo|cantillo, cantillare, cantillavi, cantillatus v
7925|cantilo|cantilo, cantilare, cantilavi, cantilatus v
7926|cantio|cantio, cantionis n
7927|cantito|cantito, cantitare, cantitavi, cantitatus v
7928|cantiuncula|cantiuncula, cantiunculae n
7929|canto|canto, cantare, cantavi, cantatus v
7930|canto|canto, cantonis n
7931|cantor|cantor, cantoris n
7932|cantreda|cantreda, cantredae n
7933|cantrix|cantrix, cantricis n
7934|Cantuaria|Cantuaria, Cantuariae n
7935|cantulus|cantulus, cantuli n
7936|canturio|canturio, canturire, canturivi, canturitus v
7937|cantus|cantus, canti n
7938|cantus|cantus, cantus n
7939|canua|canua, canuae n
7940|canum|canum, cani n
7941|canus|canus, cana, canum adj
7942|canus|canus, cani n
7943|canusina|canusina, canusinae n
7944|canusinatus|canusinatus, canusinata, canusinatum adj
7945|canutus|canutus, canuta, canutum adj
7946|capa|capa, capae n
7947|capabilis|capabilis, capabilis, capabile adj
7948|capacitas|capacitas, capacitatis n
7949|capaciter|capaciter adv
7950|capax|capax, capacis adj
7951|capedo|capedo, capedinis n
7952|capedulum|capedulum, capeduli n
7953|capeduncula|capeduncula, capedunculae n
7954|capella|capella, capellae n
7955|capella|capella, capellae n
7956|capella|capella, capellae n
7957|capellania|capellania, capellaniae n
7958|capellanus|capellanus, capellani n
7959|capellianus|capellianus, capelliana, capellianum adj
7960|capellus|capellus, capelli n
7961|capellus|capellus, capelli n
7962|caper|caper, capri n
7963|caperatus|caperatus, caperata, caperatum adj
7964|capero|capero, caperonis n
7965|caperratus|caperratus, caperrata, caperratum adj
7966|caperro|caperro, caperrare, caperravi, caperratus v
7967|capesco|capesco, capescere, capescivi, capescitus v
7968|capesso|capesso, capessere, capessivi, capessitus v
7969|capetum|capetum, capeti n
7970|caph|caph, undeclined n
7971|caphisterium|caphisterium, caphisterii n
7972|capidulum|capidulum, capiduli n
7973|capillaceus|capillaceus, capillacea, capillaceum adj
7974|capillamentum|capillamentum, capillamenti n
7975|capillare|capillare, capillaris n
7976|capillaris|capillaris, capillaris, capillare adj
7977|capillatio|capillatio, capillationis n
7978|capillatura|capillatura, capillaturae n
7979|capillatus|capillatus, capillata, capillatum adj
7980|capillatus|capillatus, capillati n
7981|capillitium|capillitium, capillitii n
7982|capillosus|capillosus, capillosa, capillosum adj
7983|capillulus|capillulus, capilluli n
7984|capillus|capillus, capilli n
7985|capio|capio, capere, additional, forms v
7986|capio|capio, capere, cepi, captus v
7987|capio|capio, capionis n
7988|capis|capis, capidis n
7989|capis|capis, capidos/is n
7990|capisso|capisso, capissere, capissivi, capissitus v
7991|capisterium|capisterium, capisterii n
7992|capistrarius|capistrarius, capistrarii n
7993|capistro|capistro, capistrare, capistravi, capistratus v
7994|capistrum|capistrum, capistri n
7995|capitagium|capitagium, capitagii n
7996|capital|capital, capitalis n
7997|capitale|capitale, capitalis n
7998|capitale|capitale, capitalis n
7999|capitalis|capitalis, capitale, capitalior adj
8000|capitalismus|capitalismus, capitalismi n
8001|capitalista|capitalista, capitalistae n
8002|capitalisticus|capitalisticus, capitalistica, capitalisticum adj
8003|capitaliter|capitaliter adv
8004|capitaneatus|capitaneatus, capitaneati n
8005|capitaneus|capitaneus, capitanea, capitaneum adj
8006|capitaneus|capitaneus, capitanei n
8007|capitarius|capitarius, capitaria, capitarium adj
8008|capitatio|capitatio, capitationis n
8009|capitatus|capitatus, capitata, capitatum adj
8010|capitellum|capitellum, capitelli n
8011|capitilavium|capitilavium, capitilavii n
8012|capitium|capitium, capitii n
8013|capitium|capitium, capitii n
8014|capito|capito, (gen.), capitonis adj
8015|Capitolinus|Capitolinus, Capitolina, Capitolinum adj
8016|Capitolium|Capitolium, Capitolii n
8017|capitolium|capitolium, capitolii n
8018|capitulare|capitulare, capitularis n
8019|capitularis|capitularis, capitularis, capitulare adj
8020|capitularium|capitularium, capitularii n
8021|capitularius|capitularius, capitularia, capitularium adj
8022|capitularius|capitularius, capitularii n
8023|capitulatim|capitulatim adv
8024|capitulatus|capitulatus, capitulata, capitulatum adj
8025|capitulum|capitulum, capituli n
8026|capitulum|capitulum, capituli n
8027|capitum|capitum, capiti n
8028|capnias|capnias, capniae n
8029|capnion|capnion, capnii n
8030|capnios|capnios, capnii n
8031|capnios|capnios, capnios, capnion adj
8032|capnites|capnites, capnitae n
8033|capnitis|capnitis, capnitidis n
8034|capnos|capnos, capni n
8035|capo|capo, caponis n
8036|cappa|cappa, cappae n
8037|cappara|cappara, capparae n
8038|cappari|cappari, undeclined n
8039|capparis|capparis, capparis n
8040|capparis|capparis, capparos/is n
8041|cappas|cappas, cappados/is n
8042|cappella|cappella, cappellae n
8043|cappellania|cappellania, cappellaniae n
8044|cappellanus|cappellanus, cappellani n
8045|capra|capra, caprae n
8046|capragenus|capragenus, capragena, capragenum adj
8047|caprago|caprago, capraginis n
8048|caprale|caprale, capralis n
8049|caprarius|caprarius, caprari(i) n
8050|caprarius|caprarius, capraria, caprarium adj
8051|caprea|caprea, capreae n
8052|capreaginus|capreaginus, capreagina, capreaginum adj
8053|capreida|capreida, capreidae n
8054|capreola|capreola, capreolae n
8055|capreolatim|capreolatim adv
8056|capreolus|capreolus, capreoli n
8057|capricornus|capricornus, capricorni n
8058|caprificatio|caprificatio, caprificationis n
8059|caprifico|caprifico, caprificare, -, - v
8060|caprificus|caprificus, caprifici n
8061|caprificus|caprificus, caprificus n
8062|caprigena|caprigena, caprigenae n
8063|caprigenus|caprigenus, caprigena, caprigenum adj
8064|caprigenus|caprigenus, caprigeni n
8065|caprile|caprile, caprilis n
8066|caprilis|caprilis, caprilis, caprile adj
8067|caprimulgus|caprimulgus, caprimulgi n
8068|caprina|caprina, caprinae n
8069|caprinarius|caprinarius, caprinarii n
8070|caprinus|caprinus, caprina, caprinum adj
8071|capriolus|capriolus, caprioli n
8072|capripes|capripes, (gen.), capripedis adj
8073|caprona|caprona, capronae n
8074|capronea|capronea, caproneae n
8075|caprugenus|caprugenus, caprugena, caprugenum adj
8076|capruginus|capruginus, caprugina, capruginum adj
8077|caprunculum|caprunculum, caprunculi n
8078|capsa|capsa, capsae n
8079|capsarius|capsarius, capsari(i) n
8080|capsella|capsella, capsellae n
8081|capsicum|capsicum, capsici n
8082|capso|capso, capsere, -, - v
8083|capsula|capsula, capsulae n
8084|capsum|capsum, capsi n
8085|capsus|capsus, capsi n
8086|captatio|captatio, captationis n
8087|captator|captator, captatoris n
8088|captatorius|captatorius, captatoria, captatorium adj
8089|captatrix|captatrix, (gen.), captatricis adj
8090|captatrix|captatrix, captatricis n
8091|captensula|captensula, captensulae n
8092|captibilis|captibilis, captibilis, captibile adj
8093|captio|captio, captionis n
8094|captiose|captiose adv
8095|captiosum|captiosum, captiosi n
8096|captiosus|captiosus, captiosa adj
8097|captito|captito, captitare, captitavi, captitatus v
8098|captiuncula|captiuncula, captiunculae n
8099|captiva|captiva, captivae n
8100|captivatio|captivatio, captivationis n
8101|captivator|captivator, captivatoris n
8102|captivitas|captivitas, captivitatis n
8103|captivncula|captivncula, captivnculae n
8104|captivo|captivo, captivare, captivavi, captivatus v
8105|captivus|captivus, captiva, captivum adj
8106|captivus|captivus, captivi n
8107|capto|capto, captare, captavi, captatus v
8108|captor|captor, captoris n
8109|captrix|captrix, captricis n
8110|captum|captum, capti n
8111|captura|captura, capturae n
8112|captus|captus, capta, captum adj
8113|captus|captus, captus n
8114|Capua|Capua, Capuae n
8115|Capuccinus|Capuccinus, Capuccini n
8116|capucium|capucium, capucii n
8117|capudo|capudo, capudinis n
8118|capula|capula, capulae n
8119|capularis|capularis, capularis, capulare adj
8120|capulatio|capulatio, capulationis n
8121|capulator|capulator, capulatoris n
8122|capulatus|capulatus, capulata, capulatum adj
8123|capulo|capulo, capulare, capulavi, capulatus v
8124|capulum|capulum, capuli n
8125|capulum|capulum, capuli n
8126|capulus|capulus, capuli n
8127|capulus|capulus, capuli n
8128|capus|capus, capi n
8129|caput|caput, capitis n
8130|caput|caput, capitis n
8131|caputalis|caputalis, caputale, caputalior adj
8132|caputium|caputium, caputii n
8133|carabus|carabus, carabi n
8134|carabus|carabus, carabi n
8135|caracalla|caracalla, caracallae n
8136|caracallis|caracallis, caracallis n
8137|caracter|caracter, caracteris n
8138|caragogos|caragogos, caragogi n
8139|caravanna|caravanna, caravannae n
8140|carbas|carbas, carbae n
8141|carbaseus|carbaseus, carbasea, carbaseum adj
8142|carbasineus|carbasineus, carbasinea, carbasineum adj
8143|carbasinum|carbasinum, carbasini n
8144|carbasinus|carbasinus, carbasina, carbasinum adj
8145|carbasum|carbasum, carbasi n
8146|carbasus|carbasus, carbasa, carbasum adj
8147|carbasus|carbasus, carbasi n
8148|carbatina|carbatina, carbatinae n
8149|carbatinus|carbatinus, carbatina, carbatinum adj
8150|carbo|carbo, carbonis n
8151|carboarius|carboarius, carboarii n
8152|carbonaria|carbonaria, carbonariae n
8153|carbonarius|carbonarius, carbonari(i) n
8154|carbonarius|carbonarius, carbonaria, carbonarium adj
8155|carbonesco|carbonesco, carbonescere, -, - v
8156|carboneum|carboneum, carbonei n
8157|carbonicus|carbonicus, carbonica, carbonicum adj
8158|carbunculatio|carbunculatio, carbunculationis n
8159|carbunculo|carbunculo, carbunculare, carbunculavi, carbunculatus v
8160|carbunculor|carbunculor, carbunculari, carbunculatus v
8161|carbunculosus|carbunculosus, carbunculosa, carbunculosum adj
8162|carbunculus|carbunculus, carbunculi n
8163|carbunica|carbunica, carbunicae n
8164|carcedonius|carcedonius, carcedonii n
8165|carcer|carcer, carceris n
8166|carceralis|carceralis, carceralis, carcerale adj
8167|carcerarius|carcerarius, carceraria, carcerarium adj
8168|carcerarius|carcerarius, carcerarii n
8169|carcereus|carcereus, carcerea, carcereum adj
8170|carcharus|carcharus, carchari n
8171|Carchedonius|Carchedonius, Carchedonia, Carchedonium adj
8172|carchesium|carchesium, carchesi(i) n
8173|carcinethron|carcinethron, carcinethri n
8174|carcinias|carcinias, carciniae n
8175|carcinodes|carcinodes, carcinodes, carcinodes adj
8176|carcinodes|carcinodes, carcinodis n
8177|carcinogenesis|carcinogenesis, carcinogenesis n
8178|carcinoma|carcinoma, carcinomatis n
8179|carcinothron|carcinothron, carcinothri n
8180|cardamina|cardamina, cardaminae n
8181|cardamomum|cardamomum, cardamomi n
8182|cardamum|cardamum, cardami n
8183|cardelis|cardelis, cardelis n
8184|cardiacus|cardiacus, cardiaca, cardiacum adj
8185|cardiacus|cardiacus, cardiaci n
8186|cardimoma|cardimoma, cardimomae n
8187|cardinalas|cardinalas, cardinalatis n
8188|cardinalatus|cardinalatus, cardinalatus n
8189|cardinalicius|cardinalicius, cardinalicia, cardinalicium adj
8190|cardinalis|cardinalis, cardinalis n
8191|cardinalis|cardinalis, cardinalis, cardinale adj
8192|cardinaliter|cardinaliter adv
8193|cardinalitius|cardinalitius, cardinalitia, cardinalitium adj
8194|cardinatus|cardinatus, cardinata, cardinatum adj
8195|cardineus|cardineus, cardinea, cardineum adj
8196|cardiogramma|cardiogramma, cardiogrammatis n
8197|cardiographia|cardiographia, cardiographiae n
8198|cardiographium|cardiographium, cardiographii n
