|FPP|Entry
17286|devium|devium, devii n
17287|devius|devius, devia, devium adj
17288|devius|devius, devia, devium adj
17289|devocator|devocator, devocatoris n
17290|devoco|devoco, devocare, devocavi, devocatus v
17291|devoco|devoco, devocare, devocavi, devocatus v
17292|devolo|devolo, devolare, devolavi, devolatus v
17293|devolutivus|devolutivus, devolutiva, devolutivum adj
17294|devolvo|devolvo, devolvere, devolvi, devolutus v
17295|devolvor|devolvor, devolvi, devolutus v
17296|devomo|devomo, devomere, devomui, devomitus v
17297|devorabilis|devorabilis, devorabilis, devorabile adj
17298|devoratio|devoratio, devorationis n
17299|devorator|devorator, devoratoris n
17300|devoratorium|devoratorium, devoratorii n
17301|devoratorius|devoratorius, devoratoria, devoratorium adj
17302|devoratrix|devoratrix, devoratricis n
17303|devoro|devoro, devorare, devoravi, devoratus v
17304|devoro|devoro, devorare, devoravi, devoratus v
17305|devorsor|devorsor, devorsoris n
17306|devorsorium|devorsorium, devorsori(i) n
17307|devorticulum|devorticulum, devorticuli n
17308|devorticulum|devorticulum, devorticuli n
17309|devortium|devortium, devorti(i) n
17310|devorto|devorto, devortere, deverti, deversus v
17311|devorto|devorto, devortere, devorti, devorsus v
17312|devotamentum|devotamentum, devotamenti n
17313|devotatio|devotatio, devotationis n
17314|devote|devote, devotius, devotissime adv
17315|devotio|devotio, devotionis n
17316|devotio|devotio, devotionis n
17317|devoto|devoto, devotare, devotavi, devotatus v
17318|devotor|devotor, devotoris n
17319|devotrix|devotrix, devotricis n
17320|devotus|devotus, devota adj
17321|devoveo|devoveo, devovere, devovi, devotus v
17322|devoveo|devoveo, devovere, devovi, devotus v
17323|devus|devus, devi n
17324|dextans|dextans, dextantis n
17325|dextella|dextella, dextellae n
17326|dexter|dexter, dextera adj
17327|dexter|dexter, dextera adj
17328|dexter|dexter, dextra adj
17329|dexter|dexter, dextra adj
17330|dextera|dextera adv
17331|dextera|dextera, dexterae n
17332|dextera|dextera, dexterae n
17333|dexteratio|dexteratio, dexterationis n
17334|dexteratus|dexteratus, dexterata, dexteratum adj
17335|dextere|dextere, dexterius, dexterime adv
17336|dexteritas|dexteritas, dexteritatis n
17337|dexterum|dexterum, dexteri n
17338|dextra|dextra adv
17339|dextra|dextra prep
17340|dextra|dextra, dextrae n
17341|dextra|dextra, dextrae n
17342|dextrale|dextrale, dextralis n
17343|dextraliolum|dextraliolum, dextralioli n
17344|dextralis|dextralis, dextralis n
17345|dextrator|dextrator, dextratoris n
17346|dextratus|dextratus, dextrata, dextratum adj
17347|dextre|dextre, dextrius, dextrime adv
17348|dextrinum|dextrinum, dextrini n
17349|dextrocherium|dextrocherium, dextrocherii n
17350|dextrorsum|dextrorsum adv
17351|dextrorsus|dextrorsus adv
17352|dextroversum|dextroversum adv
17353|dextroversus|dextroversus adv
17354|dextrovorsum|dextrovorsum adv
17355|dextrovorsus|dextrovorsus adv
17356|dextrum|dextrum, dextri n
17357|di|di n
17358|di|di n
17359|dia|dia, diae n
17360|diabatharius|diabatharius, diabatharii n
17361|diabathrum|diabathrum, diabathri n
17362|diabetes|diabetes, diabetae n
17363|diabetes|diabetes, diabetae n
17364|diabeticus|diabeticus, diabetica, diabeticum adj
17365|diabeticus|diabeticus, diabetici n
17366|diabole|diabole, diaboles n
17367|diabolicus|diabolicus, diabolica, diabolicum adj
17368|diabolus|diabolus, diaboli n
17369|diabulus|diabulus, diabuli n
17370|diacatochia|diacatochia, diacatochiae n
17371|diacatochus|diacatochus, diacatochi n
17372|diacecaumeme|diacecaumeme, diacecaumemes n
17373|diacheton|diacheton, diacheti n
17374|diachylon|diachylon, diachyli n
17375|diachyton|diachyton, diachyti n
17376|diacisson|diacisson, diacissi n
17377|diacodion|diacodion, diacodii n
17378|diacon|diacon, diaconis n
17379|diaconalis|diaconalis, diaconalis, diaconale adj
17380|diaconandus|diaconandus, diaconandi n
17381|diaconatus|diaconatus, diaconati n
17382|diaconia|diaconia, diaconiae n
17383|Diaconicon|Diaconicon, Diaconici n
17384|diaconicum|diaconicum, diaconici n
17385|diaconicus|diaconicus, diaconica, diaconicum adj
17386|diaconissa|diaconissa, diaconissae n
17387|diaconissatus|diaconissatus, diaconissatus n
17388|diaconium|diaconium, diaconii n
17389|diaconus|diaconus, diaconi n
17390|diacope|diacope, diacopes n
17391|diacopus|diacopus, diacopi n
17392|diadata|diadata, diadatae n
17393|diadema|diadema, diademae n
17394|diadema|diadema, diadematis n
17395|diademalis|diademalis, diademalis, diademale adj
17396|diadematus|diadematus, diademata, diadematum adj
17397|diadiapason|diadiapason, diadiapasi n
17398|diadoche|diadoche, diadoches n
17399|diadochos|diadochos, diadochi n
17400|diadochos|diadochos, diadochi n
17401|diadochus|diadochus, diadochi n
17402|diadochus|diadochus, diadochi n
17403|diadumenos|diadumenos, diadumenos, diadumenon adj
17404|diadumenus|diadumenus, diadumena, diadumenum adj
17405|diaeresis|diaeresis, diaeresis n
17406|diaeta|diaeta, diaetae n
17407|diaeta|diaeta, diaetae n
17408|diaetarcha|diaetarcha, diaetarchae n
17409|diaetarchus|diaetarchus, diaetarchi n
17410|diaetarius|diaetarius, diaetarii n
17411|diaeteta|diaeteta, diaetetae n
17412|diaetetica|diaetetica, diaeteticae n
17413|diaetetice|diaetetice, diaetetices n
17414|diaeteticus|diaeteticus, diaetetica, diaeteticum adj
17415|diaeteticus|diaeteticus, diaetetici n
17416|diaglaucion|diaglaucion, diaglaucii n
17417|diaglaucium|diaglaucium, diaglaucii n
17418|diagnosis|diagnosis, diagnosis n
17419|diagon|diagon, diagonis n
17420|diagonalis|diagonalis, diagonalis, diagonale adj
17421|diagonios|diagonios, diagonios, diagonion adj
17422|diagonium|diagonium, diagonii n
17423|diagonus|diagonus, diagoni n
17424|diagramma|diagramma, diagrammatis n
17425|diagrydium|diagrydium, diagrydii n
17426|diaiteon|diaiteon, diaitei n
17427|dialectica|dialectica, dialecticae n
17428|dialectice|dialectice adv
17429|dialectice|dialectice, dialectices n
17430|dialecticos|dialecticos, dialectice, dialecticon adj
17431|dialecticum|dialecticum, dialectici n
17432|dialecticus|dialecticus, dialectica, dialecticum adj
17433|dialecticus|dialecticus, dialectici n
17434|dialectos|dialectos, dialecti n
17435|dialectus|dialectus, dialecti n
17436|dialepidos|dialepidos, dialepidi n
17437|dialeucos|dialeucos, dialeucos, dialeucon adj
17438|dialibanum|dialibanum, dialibani n
17439|dialion|dialion, dialii n
17440|Dialis|Dialis, Dialis, Diale adj
17441|dialogismos|dialogismos, dialogismi n
17442|dialogista|dialogista, dialogistae n
17443|dialogus|dialogus, dialogi n
17444|dialutensis|dialutensis, dialutensis, dialutense adj
17445|dialysis|dialysis, dialysis n
17446|dialyton|dialyton, dialyti n
17447|diamastigosis|diamastigosis, diamastigosis n
17448|diameliloton|diameliloton, diameliloti n
17449|diameliton|diameliton, diameliti n
17450|diameter|diameter, diametri n
17451|diametralis|diametralis, diametralis, diametrale adj
17452|diametricalis|diametricalis, diametricalis, diametricale adj
17453|diametros|diametros, diametri n
17454|diametros|diametros, diametros, diametron adj
17455|diametrum|diametrum, diametri n
17456|diamisyos|diamisyos, diamisyi n
17457|diamoron|diamoron, diamori n
17458|Diana|Diana, Dianae n
17459|Dianarius|Dianarius, Dianaria, Dianarium adj
17460|Dianium|Dianium, Dianii n
17461|Dianius|Dianius, Diania, Dianium adj
